forwardRead	reverseRead	sampleName
/home/cld100/projects/lipuma/sequences/070818_09/AU29957_S9_R1_001.fastq.gz	/home/cld100/projects/lipuma/sequences/070818_09/AU29957_S9_R2_001.fastq.gz	AU29957
/home/cld100/projects/lipuma/sequences/071218_20/AU1581_S20_R1_001.fastq.gz	/home/cld100/projects/lipuma/sequences/071218_20/AU1581_S20_R2_001.fastq.gz	AU1581
/home/cld100/projects/lipuma/sequences/071218_22/AU1836_S22_R1_001.fastq.gz	/home/cld100/projects/lipuma/sequences/071218_22/AU1836_S22_R2_001.fastq.gz	AU1836
/home/cld100/projects/lipuma/sequences/071218_32/AU3740_S32_R1_001.fastq.gz	/home/cld100/projects/lipuma/sequences/071218_32/AU3740_S32_R2_001.fastq.gz	AU3740
/home/cld100/projects/lipuma/sequences/071218_33/AU3741_S33_R1_001.fastq.gz	/home/cld100/projects/lipuma/sequences/071218_33/AU3741_S33_R2_001.fastq.gz	AU3741
/home/cld100/projects/lipuma/sequences/071218_40/AU4381_S40_R1_001.fastq.gz	/home/cld100/projects/lipuma/sequences/071218_40/AU4381_S40_R2_001.fastq.gz	AU4381
/home/cld100/projects/lipuma/sequences/071218_41/AU4993_S41_R1_001.fastq.gz	/home/cld100/projects/lipuma/sequences/071218_41/AU4993_S41_R2_001.fastq.gz	AU4993
/home/cld100/projects/lipuma/sequences/071218_42/AU5341_S42_R1_001.fastq.gz	/home/cld100/projects/lipuma/sequences/071218_42/AU5341_S42_R2_001.fastq.gz	AU5341
/home/cld100/projects/lipuma/sequences/071218_48/AU7263_S48_R1_001.fastq.gz	/home/cld100/projects/lipuma/sequences/071218_48/AU7263_S48_R2_001.fastq.gz	AU7263
/home/cld100/projects/lipuma/sequences/071218_49/AU7574_S49_R1_001.fastq.gz	/home/cld100/projects/lipuma/sequences/071218_49/AU7574_S49_R2_001.fastq.gz	AU7574
/home/cld100/projects/lipuma/sequences/071218_50/AU7575_S50_R1_001.fastq.gz	/home/cld100/projects/lipuma/sequences/071218_50/AU7575_S50_R2_001.fastq.gz	AU7575
/home/cld100/projects/lipuma/sequences/071218_51/AU7576_S51_R1_001.fastq.gz	/home/cld100/projects/lipuma/sequences/071218_51/AU7576_S51_R2_001.fastq.gz	AU7576
/home/cld100/projects/lipuma/sequences/071218_52/AU7577_S52_R1_001.fastq.gz	/home/cld100/projects/lipuma/sequences/071218_52/AU7577_S52_R2_001.fastq.gz	AU7577
/home/cld100/projects/lipuma/sequences/071218_54/AU8821_S54_R1_001.fastq.gz	/home/cld100/projects/lipuma/sequences/071218_54/AU8821_S54_R2_001.fastq.gz	AU8821
/home/cld100/projects/lipuma/sequences/071218_55/AU9400_S55_R1_001.fastq.gz	/home/cld100/projects/lipuma/sequences/071218_55/AU9400_S55_R2_001.fastq.gz	AU9400
/home/cld100/projects/lipuma/sequences/071218_57/AU10040_S57_R1_001.fastq.gz	/home/cld100/projects/lipuma/sequences/071218_57/AU10040_S57_R2_001.fastq.gz	AU10040
/home/cld100/projects/lipuma/sequences/071218_60/AU11001_S60_R1_001.fastq.gz	/home/cld100/projects/lipuma/sequences/071218_60/AU11001_S60_R2_001.fastq.gz	AU11001
/home/cld100/projects/lipuma/sequences/071218_61/AU11002_S61_R1_001.fastq.gz	/home/cld100/projects/lipuma/sequences/071218_61/AU11002_S61_R2_001.fastq.gz	AU11002
/home/cld100/projects/lipuma/sequences/071218_62/AU11091_S62_R1_001.fastq.gz	/home/cld100/projects/lipuma/sequences/071218_62/AU11091_S62_R2_001.fastq.gz	AU11091
/home/cld100/projects/lipuma/sequences/071218_64/AU11478_S64_R1_001.fastq.gz	/home/cld100/projects/lipuma/sequences/071218_64/AU11478_S64_R2_001.fastq.gz	AU11478
/home/cld100/projects/lipuma/sequences/071218_67/AU13363_S67_R1_001.fastq.gz	/home/cld100/projects/lipuma/sequences/071218_67/AU13363_S67_R2_001.fastq.gz	AU13363
/home/cld100/projects/lipuma/sequences/071218_68/AU13364_S68_R1_001.fastq.gz	/home/cld100/projects/lipuma/sequences/071218_68/AU13364_S68_R2_001.fastq.gz	AU13364
/home/cld100/projects/lipuma/sequences/071218_73/AU15487_S73_R1_001.fastq.gz	/home/cld100/projects/lipuma/sequences/071218_73/AU15487_S73_R2_001.fastq.gz	AU15487
/home/cld100/projects/lipuma/sequences/071218_74/AU15488_S74_R1_001.fastq.gz	/home/cld100/projects/lipuma/sequences/071218_74/AU15488_S74_R2_001.fastq.gz	AU15488
