	distance	matchingHashes	pvalues	reference	sample
0	4.76906e-05	998/1000	0	AU0074	AU0075
1	9.55247e-05	996/1000	0	AU0074	AU0106
2	7.15897e-05	997/1000	0	AU0074	AU0201
3	0.295981	1/1000	0.000420082	AU0074	AU0300
4	0.00464278	830/1000	0	AU0074	AU0361
5	0.000434439	982/1000	0	AU0074	AU0465
6	0.0238299	435/1000	0	AU0074	AU0766
7	0.00502299	818/1000	0	AU0074	AU0927
8	0.00393593	853/1000	0	AU0074	AU10040
9	0.00402654	850/1000	0	AU0074	AU10310
10	0.000458924	981/1000	0	AU0074	AU1051
11	0.000409992	983/1000	0	AU0074	AU1055
12	0.000409992	983/1000	0	AU0074	AU1056
13	0.000409992	983/1000	0	AU0074	AU1057
14	0.000830728	966/1000	0	AU0074	AU1064
15	0.0010072	959/1000	0	AU0074	AU10643
16	0.00331442	874/1000	0	AU0074	AU11001
17	0.00322742	877/1000	0	AU0074	AU11002
18	0.00337267	872/1000	0	AU0074	AU11091
19	0.000458924	981/1000	0	AU0074	AU3739
20	0.00445566	836/1000	0	AU0074	AU3740
21	0.00430121	841/1000	0	AU0074	AU3741
22	0.0122604	630/1000	0	AU0074	AU37618
23	0.000215742	991/1000	0	AU0074	AU37865
24	0.00331442	874/1000	0	AU0074	AU38079
25	0.00461146	831/1000	0	AU0074	AU3827
26	0.000931334	962/1000	0	AU0074	AU3828
27	0.00384578	856/1000	0	AU0074	AU38375
28	0.00381583	857/1000	0	AU0074	AU4094
29	0.00461146	831/1000	0	AU0074	AU4165
30	0.000119496	995/1000	0	AU0074	AU4276
31	0.00865422	715/1000	0	AU0074	AU4359
32	0.00319852	878/1000	0	AU0074	AU4381
33	0.00375609	859/1000	0	AU0074	AU4993
34	0.00378594	858/1000	0	AU0074	AU5341
35	0.00141786	943/1000	0	AU0074	AU6015
36	0.0010072	959/1000	0	AU0074	AU6319
37	0.00115999	953/1000	0	AU0074	AU6667
38	0.00105797	957/1000	0	AU0074	AU6668
39	0.00378594	858/1000	0	AU0074	AU1836
40	0.0026025	899/1000	0	AU0074	AU18616
41	0.00800497	732/1000	0	AU0074	AU1887
42	0.00467416	829/1000	0	AU0074	AU18884
43	0.00381583	857/1000	0	AU0074	AU18901
44	0.00108342	956/1000	0	AU0074	AU20364
45	9.55247e-05	996/1000	0	AU0074	AU20865
46	0.00173271	931/1000	0	AU0074	AU20866
47	0.00384578	856/1000	0	AU0074	AU21680
48	9.55247e-05	996/1000	0	AU0074	AU21755
49	9.55247e-05	996/1000	0	AU0074	AU23407
50	7.15897e-05	997/1000	0	AU0074	AU23516
51	0.000956583	961/1000	0	AU0074	AU2427
52	0.000906124	963/1000	0	AU0074	AU2428
53	0.00224371	912/1000	0	AU0074	AU24509
54	0.00351914	867/1000	0	AU0074	AU24606
55	0.0042398	843/1000	0	AU0074	AU2554
56	0.00399629	851/1000	0	AU0074	AU25711
57	0.000906124	963/1000	0	AU0074	AU25990
58	0.000956583	961/1000	0	AU0074	AU25991
59	0.00387578	855/1000	0	AU0074	AU28089
60	0.00631659	779/1000	0	AU0074	AU28626
61	0.000830728	966/1000	0	AU0074	AU2986
62	0.00550978	803/1000	0	AU0074	AU29957
63	0.00103256	958/1000	0	AU0074	AU3060
64	0.00216198	915/1000	0	AU0074	AU30919
65	4.76906e-05	998/1000	0	AU0074	AU31639
66	0.00430121	841/1000	0	AU0074	AU32367
67	0.00387578	855/1000	0	AU0074	AU33182
68	0.000167546	993/1000	0	AU0074	AU33869
69	0.0111761	654/1000	0	AU0074	AU33878
70	0.000385581	984/1000	0	AU0074	AU3415
71	0.000409992	983/1000	0	AU0074	AU3416
72	0.0084995	719/1000	0	AU0074	AU34858
73	7.15897e-05	997/1000	0	AU0074	AU35919
74	0.00789262	735/1000	0	AU0074	AU36258
75	7.15897e-05	997/1000	0	AU0074	AU36284
76	9.55247e-05	996/1000	0	AU0074	AU36474
77	0.00408721	848/1000	0	AU0074	HI3291
78	0.00430121	841/1000	0	AU0074	HI3292
79	0.00399629	851/1000	0	AU0074	HI3293
80	0.00402654	850/1000	0	AU0074	HI3294
81	0.00405685	849/1000	0	AU0074	HI3295
82	0.000532603	978/1000	0	AU0074	PC668
83	0.000483446	980/1000	0	AU0074	PC669
84	0	1000/1000	0	AU0074	PC673
85	0.000361208	985/1000	0	AU0074	PC674
86	0.000385581	984/1000	0	AU0074	PC675
87	0.000336872	986/1000	0	AU0074	PC676
88	7.15897e-05	997/1000	0	AU0074	PC677
89	0.000434439	982/1000	0	AU0074	PC678
90	0.000434439	982/1000	0	AU0074	SC1128
